5.495015525145708, 2.6126312444651774, 1.9168148677902501, ball
1.997869295475513, 6.937811431999087, 5.395856320366811, ball
1.0, 8.54677434861846, 6.058026609430884, wall
4.629697110674625, 4.289565556773661, 1.0, wall
5.139293237531368, 2.265966023542437, 1.0, wall
2.6914332633044857, 5.850423629017653, 1.0, wall
3.767410963095861, 8.026696899018907, 4.482962882968503, ball
2.548100586043988, 6.998655936744716, 2.963730707490604, ball
2.543200483256381, 7.0425971014713555, 2.952009672522385, ball
1.2266064664413023, 8.598797647644723, 3.5587517317863897, ball
2.7729054133316895, 5.10974516364264, 1.0, wall
7.328278522051925, 6.849050615246677, 1.0, wall
1.0, 8.957122464495015, 2.871515948869202, wall
4.785537333970314, 4.300085650967261, 1.0, wall
2.824899001864668, 4.577314713200824, 1.2881874153156654, ball
1.0372273998991832, 9.0, 2.7432426517163373, wall
5.72486674255863, 5.086024039680303, 2.620649671481178, ball
4.77857550655353, 4.260018413628187, 1.0, wall
4.7839790315519775, 4.259286017706994, 0.9991363786736842, ball
6.984662769070652, 7.9096709617117265, 3.2360107385174497, ball
2.1509592738953267, 7.048820834821493, 1.0, wall
1.2488718125485427, 8.681636470047422, 1.9000272405348992, ball
6.226224518775586, 5.371102558102776, 2.3075809298298577, ball
4.770826764843532, 3.889545576453741, 1.314511070059828, ball
7.4339138785708965, 6.353427257836089, 1.0, wall
7.478078275554998, 6.332667862849953, 1.0604199580676203, ball
5.2333873078394735, 9.0, 1.980718003212816, wall
1.1083826929418368, 9.0, 1.3281200089609626, wall
6.804861384454175, 9.0, 3.47259738070543, wall
7.359924689443403, 3.9868766059276264, 3.582825674223327, ball
1.0240892211778132, 8.811499303169374, 1.0, wall
1.0, 8.748665737559165, 1.125290323999048, wall
5.690292036705419, 8.700329269951615, 1.0, wall
5.720863899948917, 5.235871253148861, 2.335929410433084, ball
9.0, 6.212776280999656, 1.7263832164333899, wall
5.933154007665289, 8.53990673136646, 1.5367592163084136, ball
4.6555400930682, 1.0, 1.5573266857810382, wall
4.536685770151205, 3.4466810435981126, 1.0, wall
4.49159155282201, 3.379435680152339, 1.1080091862282961, ball
3.2414991351210176, 3.9692060617674843, 2.6486137161925063, ball
